DATE_TIME,DIAMETER,GRADE,CHEM1,CHEM2,CHEM3,CHEM4,CHEM5,CHEM6,CHEM7,CHEM8,CHEM9,CHEM10,TEMP1,TEMP2,TEMP3,QUALITY1,TEMP4,SPEED,PROCESS1,PROCESS2,PROCESS3,TEMP5,TEMP6,QUALITY2,ID,uts/ys
2022-12-09 05:10:00,10,GR1,0.227,1.321,0.014,0.03,0.217,0.003,0.0005,0.026,0.01,51.0,1017,1049.0,16,717.097,281,26,2312,2955,1.35,605.0,575,618.722,A14096,1.1589970940099108
2022-11-09 22:20:00,10,GR1,0.23,1.316,0.012,0.02,0.234,0.003,0.0003,0.029,0.005,54.0,1060,866.0,110,738.075,29,27,1624,3112,1.35,630.0,517,629.748,A04419,1.1720164256178662
2022-11-09 23:30:00,10,GR1,0.223,1.32,0.017,0.019,0.236,0.002,0.0002,0.034,0.005,54.0,998,924.0,106,722.086,66,27,3008,2237,1.35,582.0,602,609.761,A91410,1.1842115189393878
2022-09-13 06:50:00,10,GR1,0.234,1.29,0.015,0.021,0.242,0.003,0.0007,0.029,0.006,60.0,1063,935.0,17,710.968,293,29,2957,2996,1.34,627.0,608,601.849,A61493,1.1813062744974236
2022-12-09 09:00:00,10,GR1,0.23,1.3,0.018,0.027,0.233,0.003,0.0002,0.023,0.008,47.0,846,1036.0,22,725.385,116,28,1853,2839,1.35,530.0,588,614.9,A31979,1.1796796227028785
2022-09-13 13:00:00,10,GR1,0.212,1.3,0.025,0.034,0.23,0.003,0.0003,0.033,0.008,51.0,877,941.0,122,694.908,320,28,2217,2813,1.33,601.0,519,591.711,A19395,1.1744043967409765
2022-11-09 20:30:00,10,GR1,0.245,1.29,0.018,0.037,0.219,0.0025,0.0004,0.027,0.005,51.0,1095,1032.0,132,751.775,263,32,3135,3432,1.36,556.0,577,638.353,A93193,1.1776791211132398
2022-11-09 20:00:00,10,GR1,0.227,1.29,0.016,0.03,0.223,0.003,0.0007,0.029,0.008,50.0,848,1115.0,14,714.348,89,27,1997,2367,1.36,576.0,562,609.364,A93918,1.172284545854366
2022-11-09 19:00:00,10,GR1,0.237,1.3,0.017,0.023,0.234,0.003,0.0002,0.025,0.0054,52.0,892,978.0,63,727.555,319,32,1565,1877,1.36,554.0,603,620.895,A17893,1.1717842791454272
2022-11-09 17:05:00,10,GR1,0.22,1.26,0.014,0.033,0.21,0.003,0.0001,0.027,0.0056,47.0,902,838.0,24,685.258,78,30,2910,3043,1.36,585.0,616,590.864,A83913,1.1597558829104497
2022-11-09 14:15:00,10,GR1,0.237,1.33,0.022,0.023,0.263,0.003,0.0006,0.024,0.0056,67.0,917,1035.0,22,713.525,253,31,3136,1676,1.36,547.0,563,595.768,A17938,1.1976557989015857
2022-11-09 05:15:00,10,GR1,0.23,1.29,0.017,0.024,0.25,0.003,0.0003,0.027,0.006,51.0,975,1011.0,20,720.279,288,28,1826,3298,1.35,537.0,633,619.763,A99133,1.1621845770076626
2022-09-13 08:00:00,10,GR1,0.234,1.32,0.018,0.032,0.247,0.003,0.0003,0.026,0.005,56.0,879,969.0,95,697.124,282,31,1962,2077,1.34,610.0,533,595.766,A35791,1.1701305546137244
2022-11-09 09:20:00,10,GR1,0.221,1.29,0.022,0.029,0.227,0.003,0.0004,0.03,0.008,59.0,924,887.0,62,702.71,236,29,1725,2196,1.35,536.0,601,595.243,A67391,1.180543072325084
2022-09-13 13:40:00,10,GR1,0.212,1.3,0.025,0.034,0.23,0.003,0.0003,0.033,0.008,51.0,973,1061.0,29,725.755,246,28,1704,2476,1.33,553.0,524,627.195,A15939,1.15714410988608
2022-10-14 06:50:00,10,GR1,0.234,1.317,0.017,0.023,0.253,0.002,0.0002,0.025,0.003,56.0,924,930.0,12,718.935,62,28,2368,2388,1.33,578.0,508,615.487,A82024,1.1680750365157997
2022-11-10 01:50:00,10,GR1,0.247,1.303,0.022,0.029,0.274,0.003,0.0005,0.035,0.003,50.0,1029,1013.0,127,705.286,315,28,1830,1839,1.33,587.0,601,594.415,A80228,1.1865212015174582
2022-10-13 02:35:00,10,GR1,0.235,1.28,0.016,0.03,0.243,0.003,0.0008,0.034,0.003,51.0,842,859.0,9,702.96,156,30,3125,2081,1.32,573.0,617,581.864,A78602,1.2081173607578404
2022-09-13 16:25:00,10,GR1,0.225,1.32,0.018,0.024,0.22,0.003,0.0003,0.024,0.004,48.0,1075,1055.0,52,708.02,321,28,1875,2725,1.32,557.0,555,607.607,A12952,1.1652597814047567
2022-09-13 09:10:00,10,GR1,0.23,1.31,0.012,0.018,0.232,0.003,0.0008,0.029,0.005,55.0,870,1074.0,138,731.824,279,26,2790,1981,1.34,566.0,628,630.203,A40195,1.1612512158780584
2022-09-13 09:40:00,10,GR1,0.23,1.31,0.012,0.018,0.232,0.003,0.0008,0.029,0.005,55.0,1069,1050.0,109,732.433,124,28,1881,1736,1.34,535.0,541,622.543,A10594,1.1765179272757063
2022-09-13 11:25:00,10,GR1,0.231,1.354,0.02,0.031,0.242,0.003,0.0014,0.032,0.006,53.0,1144,1082.0,120,709.326,211,27,2395,3015,1.33,649.0,539,595.515,A01985,1.1911135739653913
2022-09-13 12:00:00,10,GR1,0.231,1.354,0.02,0.031,0.242,0.003,0.0014,0.032,0.006,50.0,836,1119.0,122,708.86,290,28,2243,2051,1.33,531.0,566,597.56,A10589,1.186257446950934
2022-12-11 00:55:00,10,GR1,0.223,1.287,0.017,0.028,0.239,0.002,0.0001,0.029,0.004,50.0,1104,1023.0,120,719.569,213,27,2892,3189,1.32,649.0,632,608.01,A33204,1.183482179569415
2022-09-13 17:00:00,10,GR1,0.225,1.26,0.014,0.031,0.219,0.0025,0.0001,0.028,0.0056,53.0,907,1008.0,132,735.801,139,28,1531,2683,1.32,602.0,545,637.387,A71915,1.154402270520108
2022-09-14 07:20:00,10,GR1,0.225,1.32,0.018,0.024,0.22,0.003,0.0003,0.024,0.004,48.0,926,900.0,49,717.033,148,29,2653,2092,1.33,590.0,574,606.305,A29251,1.1826275554382697
2022-09-13 23:10:00,10,GR1,0.22,1.332,0.016,0.017,0.222,0.003,0.0001,0.027,0.005,58.0,1024,867.0,20,729.969,198,28,2876,1646,1.33,614.0,590,622.879,A31579,1.171927453004516
2022-09-14 19:30:00,10,GR1,0.22,1.31,0.017,0.034,0.225,0.0028,0.0019,0.0303,0.008,50.0,1009,855.0,81,702.882,70,30,2507,2208,1.35,599.0,617,600.248,A99513,1.1709859924564512
2022-08-12 10:15:00,10,GR1,0.24,1.29,0.011,0.021,0.25,0.003,0.0002,0.023,0.002,50.0,1096,1046.0,79,728.238,31,32,2990,2609,1.32,630.0,527,614.631,A62042,1.1848377319074372
2022-10-14 05:15:00,10,GR1,0.223,1.296,0.01,0.032,0.217,0.003,0.0003,0.037,0.005,60.0,1100,1014.0,52,728.799,16,32,3119,2489,1.33,559.0,551,612.041,A23511,1.1907682655246952
2022-10-13 13:45:00,10,GR1,0.232,1.274,0.013,0.018,0.253,0.003,0.0003,0.027,0.003,59.0,1016,841.0,48,712.784,28,26,2541,2067,1.32,524.0,549,596.895,A11201,1.1941530754990408
2022-11-10 12:40:00,10,GR1,0.22,1.3,0.016,0.026,0.231,0.003,0.0003,0.032,0.007,53.0,953,945.0,129,712.332,284,32,2577,1728,1.33,562.0,566,599.071,A29120,1.1890610628790244
2022-12-10 06:55:00,10,GR1,0.225,1.3,0.024,0.024,0.223,0.003,0.0003,0.039,0.006,69.0,1079,1066.0,116,724.223,13,28,1553,3211,1.34,576.0,634,619.259,A20178,1.1694993532592985
2022-12-10 07:20:00,10,GR1,0.225,1.3,0.024,0.024,0.223,0.003,0.0003,0.039,0.006,69.0,889,891.0,134,721.765,41,28,2787,2550,1.34,528.0,581,602.932,A81702,1.1970918776910164
2022-12-10 23:20:00,10,GR1,0.222,1.27,0.01,0.018,0.242,0.0026,0.0025,0.0225,0.0055,46.0,910,861.0,139,705.834,38,26,2483,3007,1.33,545.0,560,599.549,A11122,1.177274918313599
2022-12-09 13:45:00,10,GR1,0.223,1.315,0.016,0.03,0.233,0.003,0.002,0.032,0.0046,43.0,1067,890.0,110,729.733,46,31,3027,2283,1.35,601.0,631,613.563,A49316,1.1893367103296646
2022-12-10 23:50:00,10,GR1,0.228,1.255,0.012,0.023,0.236,0.003,0.0009,0.039,0.001,62.0,875,1106.0,128,695.797,313,29,2512,2651,1.33,647.0,518,587.972,A21215,1.1833845829393237
2022-09-15 02:30:00,10,GR1,0.22,1.28,0.015,0.022,0.22,0.003,0.0002,0.032,0.009,49.0,956,1052.0,105,693.99,72,27,1946,1843,1.33,623.0,529,582.205,A54919,1.1920028168772168
2022-10-13 21:50:00,10,GR1,0.227,1.273,0.014,0.028,0.218,0.002,0.002,0.038,0.006,57.0,1009,1059.0,119,725.943,128,28,2584,3315,1.32,607.0,541,605.515,A81128,1.1988852464431103
2022-10-14 00:45:00,10,GR1,0.226,1.287,0.012,0.023,0.223,0.002,0.0014,0.031,0.006,52.0,867,985.0,52,734.964,63,31,2002,2347,1.33,537.0,622,621.458,A10912,1.182644683952898
2022-10-14 04:45:00,10,GR1,0.228,1.28,0.012,0.015,0.246,0.003,0.0013,0.023,0.005,48.0,1029,1069.0,120,728.346,104,32,2378,3192,1.33,595.0,528,614.073,A22012,1.1860902531132294
2022-10-16 03:30:00,10,GR1,0.23,1.29,0.012,0.025,0.235,0.002,0.0001,0.033,0.008,56.0,1119,896.0,49,711.705,94,29,1790,1848,1.34,645.0,595,595.816,A23218,1.1945046792969642
2022-10-15 23:40:00,10,GR1,0.23,1.304,0.014,0.02,0.255,0.003,0.0005,0.039,0.006,55.0,968,1051.0,97,723.17,315,26,2382,3117,1.34,560.0,555,616.49,A16242,1.173044169410696
